TOUCH_KIND: 3
0 @ {63, 173.5} @ 82128.023153
1 @ {103.5, 189} @ 82128.156355
3 @ {110, 199} @ 82128.172910
TOUCH_KIND: 3
0 @ {24, 278} @ 82132.707449
1 @ {37.5, 282} @ 82132.723037
1 @ {41.5, 282} @ 82132.739700
1 @ {43, 282} @ 82132.756318
1 @ {44, 282} @ 82132.773072
1 @ {44.5, 282.5} @ 82132.789589
1 @ {47, 283} @ 82132.806294
1 @ {55, 284.5} @ 82132.823233
1 @ {60, 286.5} @ 82132.839628
1 @ {62, 289.5} @ 82132.856225
3 @ {64, 291.5} @ 82132.872881
TOUCH_KIND: 3
0 @ {34.5, 363} @ 82140.640593
1 @ {62.5, 353.5} @ 82140.656510
1 @ {66.5, 351} @ 82140.673036
1 @ {68, 349.5} @ 82140.689745
1 @ {69.5, 349.5} @ 82140.706430
1 @ {74.5, 348.5} @ 82140.722927
1 @ {81, 347.5} @ 82140.739661
3 @ {81, 351} @ 82140.756407
TOUCH_KIND: 3
0 @ {23.5, 380.5} @ 82143.057473
1 @ {53, 367} @ 82143.073101
1 @ {60, 362.5} @ 82143.089652
1 @ {63, 361.5} @ 82143.106221
1 @ {66.5, 359.5} @ 82143.123057
1 @ {88, 350} @ 82143.139556
1 @ {92, 346.5} @ 82143.156323
3 @ {95, 348} @ 82143.172952
TOUCH_KIND: 3
0 @ {10, 409} @ 82146.306229
1 @ {37.5, 395.5} @ 82146.372941
1 @ {45, 389.5} @ 82146.389837
1 @ {48.5, 386.5} @ 82146.406452
1 @ {50, 384.5} @ 82146.423078
1 @ {51, 383.5} @ 82146.439762
1 @ {51.5, 383} @ 82146.456311
1 @ {53, 382} @ 82146.473001
1 @ {54, 381} @ 82146.489758
1 @ {74, 372.5} @ 82146.506379
3 @ {76, 370.5} @ 82146.522798
TOUCH_KIND: 3
0 @ {17.5, 398} @ 82149.206346
1 @ {28.5, 392} @ 82149.239544
1 @ {53.5, 384.5} @ 82149.256468
1 @ {60, 382} @ 82149.272914
1 @ {62.5, 381} @ 82149.289634
1 @ {65, 380} @ 82149.306396
1 @ {70, 377.5} @ 82149.322942
1 @ {82, 374} @ 82149.339712
1 @ {91, 370.5} @ 82149.356372
1 @ {94, 370.5} @ 82149.373031
3 @ {96, 369} @ 82149.389523
TOUCH_KIND: 3
0 @ {12, 391} @ 82152.039659
1 @ {22, 384.5} @ 82152.072826
1 @ {46, 374} @ 82152.089782
1 @ {53, 371} @ 82152.106324
1 @ {55.5, 369.5} @ 82152.123175
1 @ {57.5, 368.5} @ 82152.139748
1 @ {59.5, 367.5} @ 82152.156202
1 @ {85, 355.5} @ 82152.173035
1 @ {89, 353.5} @ 82152.189833
3 @ {87.5, 358} @ 82152.206209
TOUCH_KIND: 3
0 @ {66, 492.5} @ 82156.622879
1 @ {92.5, 482} @ 82156.689699
1 @ {96, 480.5} @ 82156.706462
1 @ {97, 480} @ 82156.723044
1 @ {98.5, 479} @ 82156.739685
1 @ {105, 477} @ 82156.756368
1 @ {114, 473.5} @ 82156.773040
1 @ {117, 473.5} @ 82156.789740
3 @ {118.5, 474.5} @ 82156.806218
TOUCH_KIND: 3
0 @ {51.5, 250} @ 82162.723110
1 @ {68, 245} @ 82162.806237
1 @ {85.5, 237.5} @ 82162.823261
1 @ {107, 228} @ 82162.839799
1 @ {126.5, 219} @ 82162.856455
1 @ {130.5, 217} @ 82162.873208
1 @ {131.5, 217} @ 82162.889808
1 @ {131.5, 221} @ 82162.922922
3 @ {130, 226} @ 82162.939757
TOUCH_KIND: 3
0 @ {28, 276} @ 82165.373055
1 @ {51, 269} @ 82165.439573
1 @ {60.5, 265.5} @ 82165.456466
1 @ {64.5, 263.5} @ 82165.473112
1 @ {67, 262.5} @ 82165.489674
1 @ {69, 261} @ 82165.506271
1 @ {80.5, 257} @ 82165.523109
1 @ {91.5, 255.5} @ 82165.539589
3 @ {103, 253} @ 82165.556296
TOUCH_KIND: 3
0 @ {168.5, 497} @ 82178.456381
1 @ {190.5, 483} @ 82178.523114
1 @ {196.5, 479} @ 82178.539657
1 @ {199, 477} @ 82178.556454
1 @ {204, 475} @ 82178.573442
1 @ {218, 469} @ 82178.589697
1 @ {225, 465.5} @ 82178.606378
1 @ {229, 464} @ 82178.623231
1 @ {230.5, 463.5} @ 82178.639658
3 @ {233, 464} @ 82178.656405
TOUCH_KIND: 3
0 @ {104, 350} @ 82208.173028
1 @ {117.5, 338.5} @ 82208.222931
1 @ {121.5, 337} @ 82208.239686
1 @ {123.5, 335} @ 82208.256402
1 @ {125, 334} @ 82208.273017
1 @ {126.5, 332} @ 82208.289610
1 @ {128.5, 332} @ 82208.306399
1 @ {162, 305} @ 82208.322996
3 @ {164, 304.5} @ 82208.339621
TOUCH_KIND: 3
0 @ {82.5, 299} @ 82210.306326
1 @ {99, 292} @ 82210.323323
1 @ {104.5, 290} @ 82210.339866
1 @ {107, 289.5} @ 82210.356327
1 @ {108.5, 289.5} @ 82210.373143
1 @ {109, 289.5} @ 82210.389692
1 @ {102.5, 297} @ 82210.439738
3 @ {96.5, 308} @ 82210.456199
TOUCH_KIND: 3
0 @ {64.5, 251.5} @ 82217.039760
1 @ {91, 244.5} @ 82217.122923
1 @ {99, 240} @ 82217.139813
1 @ {102, 238.5} @ 82217.156631
1 @ {104.5, 237} @ 82217.172970
1 @ {112, 232.5} @ 82217.189517
1 @ {121, 227} @ 82217.206398
1 @ {121.5, 226.5} @ 82217.223101
3 @ {127, 222} @ 82217.239631
TOUCH_KIND: 3
0 @ {26.5, 508.5} @ 82225.206411
1 @ {32.5, 509.5} @ 82225.272821
1 @ {41, 509} @ 82225.289656
1 @ {60.5, 501.5} @ 82225.306516
1 @ {66, 499} @ 82225.323180
1 @ {69, 497} @ 82225.339737
1 @ {77, 493.5} @ 82225.356521
1 @ {91, 487} @ 82225.372904
1 @ {96, 484.5} @ 82225.389716
3 @ {97, 484.5} @ 82225.406400
TOUCH_KIND: 3
0 @ {54, 395} @ 82228.689693
1 @ {63, 394.5} @ 82228.756422
1 @ {90, 382.5} @ 82228.773260
1 @ {96, 377} @ 82228.789716
1 @ {98.5, 375} @ 82228.806461
1 @ {102, 373.5} @ 82228.823005
1 @ {114.5, 367.5} @ 82228.839567
1 @ {122, 363} @ 82228.856409
1 @ {125.5, 361} @ 82228.872826
1 @ {127.5, 360} @ 82228.889500
1 @ {128, 359.5} @ 82228.906402
1 @ {130, 359.5} @ 82228.922846
3 @ {132, 360} @ 82228.939501
TOUCH_KIND: 3
0 @ {132.5, 492.5} @ 82244.889582
1 @ {136.5, 475} @ 82244.939507
1 @ {139, 467.5} @ 82244.956438
1 @ {140, 466} @ 82244.973139
1 @ {140, 464} @ 82244.989664
1 @ {140, 463} @ 82245.006444
1 @ {140.5, 459} @ 82245.024880
1 @ {140.5, 446.5} @ 82245.039723
1 @ {140.5, 436.5} @ 82245.056461
1 @ {140.5, 430} @ 82245.072868
1 @ {140.5, 423.5} @ 82245.089587
3 @ {135.5, 413.5} @ 82245.106475
TOUCH_KIND: 3
0 @ {84.5, 441.5} @ 82247.239619
1 @ {88, 415} @ 82247.306333
1 @ {88.5, 410} @ 82247.323264
1 @ {89, 408} @ 82247.339660
1 @ {89, 407} @ 82247.356645
1 @ {89.5, 406.5} @ 82247.373007
3 @ {91.5, 407.5} @ 82247.406196
TOUCH_KIND: 3
0 @ {200.5, 399.5} @ 82250.506546
1 @ {204.5, 374.5} @ 82250.556366
1 @ {204.5, 369.5} @ 82250.573227
1 @ {204.5, 367.5} @ 82250.589549
1 @ {205, 366.5} @ 82250.606382
1 @ {205.5, 366} @ 82250.623001
1 @ {206, 366} @ 82250.639693
1 @ {206, 376} @ 82250.656468
1 @ {206, 388} @ 82250.672888
1 @ {209.5, 393.5} @ 82250.689518
1 @ {215.5, 398.5} @ 82250.706214
3 @ {224.5, 402} @ 82250.722829
TOUCH_KIND: 3
0 @ {259, 395.5} @ 82252.656361
1 @ {259.5, 370} @ 82252.689571
1 @ {260, 364.5} @ 82252.706633
1 @ {260.5, 363.5} @ 82252.722952
1 @ {260.5, 363} @ 82252.739634
1 @ {260.5, 362.5} @ 82252.756442
1 @ {262.5, 361.5} @ 82252.789576
1 @ {274.5, 339.5} @ 82252.806337
3 @ {276.5, 337.5} @ 82252.822715
TOUCH_KIND: 3
0 @ {56, 318} @ 82255.056328
1 @ {61, 298} @ 82255.073359
1 @ {61, 293.5} @ 82255.090015
1 @ {61, 293} @ 82255.106315
1 @ {61, 291.5} @ 82255.172909
1 @ {66, 281.5} @ 82255.189689
3 @ {68, 279.5} @ 82255.206121
TOUCH_KIND: 3
0 @ {224.5, 328} @ 82257.873036
1 @ {221.5, 307.5} @ 82257.923019
1 @ {221.5, 304} @ 82257.939834
1 @ {221, 303} @ 82257.956291
1 @ {220.5, 302.5} @ 82257.973103
